schoolCode,schoolname,mgmt,type,classL,classH
27030905505,Z. P. URDU SCH. SHIRSOLI,Zilla Parishad,3_Pr. With Up.Pr. & sec./H.Sec.,1,8
27030905601,Z. P. PRI SCH. ,Zilla Parishad,2_Primary with Upper Primary,1,7
27030905701,Z. P. PRI SCH. DHANORE BK.,Zilla Parishad,2_Primary with Upper Primary,1,5
27030905801,Z. P. PRI SCH.  JALAKE TANDA,Zilla Parishad,1_Primary,1,4
27030905901,Z. P. PRI SCH. MOHADI,Zilla Parishad,1_Primary,1,4
27030906101,MAR BOYS-GIRLS SCH. NIMKHEDI KH.,Zilla Parishad,1_Primary,1,4
27030906201,Z. P. PRI SCH. ,Zilla Parishad,2_Primary with Upper Primary,1,7
27030906301,Z. P. PRI SCH. ,Zilla Parishad,1_Primary,1,4
27030906401,KENDRIYA PRI. SCH.,Zilla Parishad,1_Primary,1,4
27030906501,Z. P. PRI SCH. DOMGAON,Zilla Parishad,2_Primary with Upper Primary,1,5
27030906601,Z. P. PRI SCH. JALAKE,Zilla Parishad,2_Primary with Upper Primary,1,7
27030906701,Z. P. PRI SCH. JAVKHEDA,Zilla Parishad,1_Primary,1,4
27030906801,PRI VIDYAMANDIR LONWADI,Zilla Parishad,2_Primary with Upper Primary,1,5
27030907001,Z. P. PRI SCH.  PATHARI JUNI,Zilla Parishad,2_Primary with Upper Primary,1,7
27030907101,Z. P. PRI SCH. VARAD BK.,Zilla Parishad,2_Primary with Upper Primary,1,7
27030907201,Z. P. PRI SCH.  VADALI,Zilla Parishad,2_Primary with Upper Primary,1,7
27030907301,Z. P. PRI SCH. VITNER,Zilla Parishad,2_Primary with Upper Primary,1,7
27030907401,Z. P. PRI SCH. VITNER TANDA,Zilla Parishad,1_Primary,1,4
27030907501,Z. P. KENDRA  SCHOOL. VIDGAON,Zilla Parishad,1_Primary,1,4
27030907601,Z. P. PRI. SCH AMODE KH.,Zilla Parishad,1_Primary,1,4
27030907701,Z. P. PRI. SCH AWAR,Zilla Parishad,1_Primary,1,4
27030907801,Z. P. PRI. SCH DIKSAI,Zilla Parishad,1_Primary,1,4
27030907901,Z. P. PRI. SCH DHAMANGAON,Zilla Parishad,1_Primary,1,4
27030908001,Z. P. PRI. SCH DHANORE KH.,Zilla Parishad,1_Primary,1,4
